f  vp  phi  kc  alfa
1  0.199521  0.043969  145.564  0
2  0.199283  0.0880432  140.169  0
3  0.198926  0.132302  131.796  1.0733
4  0.198373  0.176893  121.255  1.615
5  0.197511  0.222082  109.338  2.2045
6  0.196386  0.268025  96.6935  2.8288
7  0.195046  0.314845  83.8995  3.4778
8  0.193461  0.36277  71.4358  4.1582
9  0.191718  0.411827  59.692  4.8667
10  0.189897  0.461972  48.983  5.5886
11  0.188076  0.513091  39.5139  6.319
12  0.186289  0.565105  31.3782  7.0536
13  0.184604  0.617785  24.5709  7.7186
14  0.182983  0.671202  19.0013  8.3187
15  0.181521  0.724935  14.5362  8.8848
16  0.18018  0.779019  11.0098  9.4123
17  0.178923  0.833524  8.2662  9.8969
18  0.177778  0.88824  6.1523  10.489
19  0.176647  0.943587  4.5388  11.132
20  0.175531  0.999566  3.3165  11.759
21  0.174368  1.05654  2.3974  12.37
22  0.17307  1.11516  1.7098  12.961
23  0.171556  1.17613  1.1995  12.961
24  0.169635  1.24117  0.8222  12.961
