a,thi,L,c,del,eps,pol,f,vp,phi,kc,alfa
2.72,0.23,3.43,7.35,0.21,3.8,0.5,1,0.266028,0.0860153,155.586,0.42675
2.72,0.23,3.43,7.35,0.21,3.8,0.5,2,0.256279,0.178575,146.232,1.0612
2.72,0.23,3.43,7.35,0.21,3.8,0.5,3,0.242131,0.283514,123.862,1.7222
2.72,0.23,3.43,7.35,0.21,3.8,0.5,4,0.226963,0.403281,88.4505,2.4348
2.72,0.23,3.43,7.35,0.21,3.8,0.5,5,0.214225,0.534077,52.7498,3.1116
2.72,0.23,3.43,7.35,0.21,3.8,0.5,6,0.205255,0.668901,27.6417,3.721
2.72,0.23,3.43,7.35,0.21,3.8,0.5,7,0.199402,0.80329,13.2968,4.3607
2.72,0.23,3.43,7.35,0.21,3.8,0.5,8,0.195695,0.935437,5.953,4.9844
2.72,0.23,3.43,7.35,0.21,3.8,0.5,9,0.193162,1.06616,2.4722,4.9844
2.72,0.23,3.43,7.35,0.21,3.8,0.5,1,0.266028,0.0860153,155.586,0.42675
2.72,0.23,3.43,7.35,0.21,3.8,0.5,2,0.256279,0.178575,146.232,1.0612
2.72,0.23,3.43,7.35,0.21,3.8,0.5,3,0.242131,0.283514,123.862,1.7222
2.72,0.23,3.43,7.35,0.21,3.8,0.5,4,0.226963,0.403281,88.4505,2.4348
2.72,0.23,3.43,7.35,0.21,3.8,0.5,5,0.214225,0.534077,52.7498,3.1116
2.72,0.23,3.43,7.35,0.21,3.8,0.5,6,0.205255,0.668901,27.6417,3.721
2.72,0.23,3.43,7.35,0.21,3.8,0.5,7,0.199402,0.80329,13.2968,4.3607
2.72,0.23,3.43,7.35,0.21,3.8,0.5,8,0.195695,0.935437,5.953,4.9844
2.72,0.23,3.43,7.35,0.21,3.8,0.5,9,0.193162,1.06616,2.4722,4.9844
2.72,0.23,3.43,7.35,0.21,3.8,0.5,1,0.266028,0.0860153,155.586,0.42675
2.72,0.23,3.43,7.35,0.21,3.8,0.5,2,0.256279,0.178575,146.232,1.0612
2.72,0.23,3.43,7.35,0.21,3.8,0.5,3,0.242131,0.283514,123.862,1.7222
2.72,0.23,3.43,7.35,0.21,3.8,0.5,4,0.226963,0.403281,88.4505,2.4348
2.72,0.23,3.43,7.35,0.21,3.8,0.5,5,0.214225,0.534077,52.7498,3.1116
2.72,0.23,3.43,7.35,0.21,3.8,0.5,6,0.205255,0.668901,27.6417,3.721
2.72,0.23,3.43,7.35,0.21,3.8,0.5,7,0.199402,0.80329,13.2968,4.3607
2.72,0.23,3.43,7.35,0.21,3.8,0.5,8,0.195695,0.935437,5.953,4.9844
2.72,0.23,3.43,7.35,0.21,3.8,0.5,9,0.193162,1.06616,2.4722,4.9844
2.72,0.23,3.43,7.35,0.21,3.8,0.5,1,0.266028,0.0860153,155.586,0.42675
2.72,0.23,3.43,7.35,0.21,3.8,0.5,2,0.256279,0.178575,146.232,1.0612
